Revenue Passenger-miles (the number of passengers and the distance flown in thousands (000)) (Southwest Airlines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2017,7,"11,845,160","517,126","12,362,286"
2017,8,"10,907,849","369,114","11,276,963"
2017,9,"9,279,577","210,271","9,489,847"
2017,10,"10,412,685","266,580","10,679,266"
2017,11,"10,445,556","352,099","10,797,654"
2017,12,"10,314,253","399,394","10,713,647"
2017,TOTAL,"124,627,756","4,417,042","129,044,798"
2018,1,"9,358,843","367,678","9,726,521"
2018,2,"8,661,391","333,253","8,994,644"
2018,3,"11,267,619","451,532","11,719,151"
2018,4,"10,794,650","407,556","11,202,206"
2018,5,"11,300,151","405,685","11,705,836"
2018,6,"11,739,575","495,522","12,235,097"
2018,7,"12,079,916","537,122","12,617,038"
2018,8,"11,053,578","365,233","11,418,812"
2018,9,"9,732,239","256,958","9,989,197"
2018,10,"11,012,373","308,524","11,320,896"
2018,11,"10,924,229","402,157","11,326,386"
2018,12,"10,630,955","438,837","11,069,792"
2018,TOTAL,"128,555,519","4,770,056","133,325,575"
2019,1,"9,331,410","391,435","9,722,845"
2019,2,"8,799,337","345,004","9,144,341"
2019,3,"11,354,237","483,417","11,837,654"
2019,4,"10,781,770","398,874","11,180,644"
2019,5,"11,242,873","410,864","11,653,737"
2019,6,"11,267,874","426,593","11,694,467"
2019,7,"11,521,773","421,658","11,943,431"
2019,8,"10,737,030","286,232","11,023,262"
2019,9,"9,727,704","195,365","9,923,069"
2019,10,"10,832,711","251,380","11,084,092"
2019,11,"10,218,592","368,443","10,587,035"
2019,12,"11,136,248","417,739","11,553,987"
2019,TOTAL,"126,951,561","4,397,004","131,348,564"
2020,1,"9,201,541","300,255","9,501,796"
2020,2,"8,817,041","279,467","9,096,508"
2020,3,"5,129,143","208,252","5,337,395"
2020,4,"428,449",0,"428,449"
2020,5,"1,459,650",,"1,459,650"
2020,6,"3,726,559",,"3,726,559"
2020,7,"4,023,541","45,769","4,069,310"
2020,8,"4,015,636","51,834","4,067,470"
2020,9,"3,701,703","50,314","3,752,017"
