Revenue Passenger-miles (the number of passengers and the distance flown in thousands (000)) (Delta Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2016,TOTAL,"111,228,660","78,478,129","189,706,790"
2017,1,"8,195,822","5,752,770","13,948,592"
2017,2,"7,740,279","4,838,045","12,578,323"
2017,3,"10,035,786","6,173,892","16,209,678"
2017,4,"9,182,428","6,597,737","15,780,165"
2017,5,"10,101,920","7,135,916","17,237,836"
2017,6,"10,614,438","8,203,231","18,817,669"
2017,7,"11,205,988","8,552,718","19,758,706"
2017,8,"11,098,526","8,520,422","19,618,948"
2017,9,"8,874,954","7,061,515","15,936,470"
2017,10,"9,854,269","6,540,487","16,394,756"
2017,11,"9,151,972","5,208,503","14,360,476"
2017,12,"8,994,133","5,954,069","14,948,202"
2017,TOTAL,"115,050,516","80,539,305","195,589,820"
2018,1,"8,326,490","5,827,087","14,153,577"
2018,2,"8,170,388","5,048,854","13,219,241"
2018,3,"10,504,705","6,606,866","17,111,571"
2018,4,"9,892,678","6,627,253","16,519,930"
2018,5,"10,465,289","7,399,312","17,864,600"
2018,6,"11,236,120","8,291,150","19,527,270"
2018,7,"11,991,789","8,720,402","20,712,191"
2018,8,"11,803,439","8,687,917","20,491,357"
2018,9,"9,504,636","7,169,074","16,673,709"
2018,10,"10,249,932","6,722,219","16,972,151"
2018,11,"9,730,669","5,428,414","15,159,083"
2018,12,"9,782,092","6,098,410","15,880,502"
2018,TOTAL,"121,658,226","82,626,956","204,285,183"
2019,1,"9,065,735","5,976,703","15,042,438"
2019,2,"8,533,062","5,162,847","13,695,909"
2019,3,"11,342,854","6,708,765","18,051,619"
2019,4,"10,700,708","6,857,499","17,558,206"
2019,5,"11,454,034","7,755,631","19,209,665"
2019,6,"12,304,731","8,574,704","20,879,435"
2019,7,"13,005,057","8,901,170","21,906,227"
2019,8,"12,649,908","8,981,125","21,631,033"
2019,9,"10,413,301","7,533,842","17,947,143"
2019,10,"11,015,607","7,018,007","18,033,614"
2019,11,"9,982,616","5,627,460","15,610,076"
2019,12,"11,038,355","6,397,670","17,436,025"
2019,TOTAL,"131,505,969","85,495,422","217,001,391"
2020,1,"10,142,414","6,365,803","16,508,217"
2020,2,"9,689,523","5,046,379","14,735,903"
2020,3,"5,442,619","2,633,775","8,076,394"
2020,4,"435,156","138,493","573,649"
2020,5,"791,674","118,574","910,248"
2020,6,"1,455,783","218,715","1,674,498"
2020,7,"2,407,669","424,508","2,832,177"
2020,8,"3,068,565","608,433","3,676,998"
2020,9,"3,082,658","603,722","3,686,380"
2020,10,"3,512,886","764,606","4,277,492"
2020,11,"3,426,198","860,443","4,286,642"
2020,12,"3,641,061","1,208,713","4,849,775"
2020,TOTAL,"47,096,208","18,992,165","66,088,373"
2021,1,"3,603,046",,
2021,2,"3,666,261",,
2021,3,"5,393,820",,
2021,TOTAL,"12,663,127",0,0
,,,,
Note: All numbers are for scheduled services. Details may not add due to rounding.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
