,Ticker,Report Date,Fiscal Year,Fiscal Period,Shares (Basic),Revenue,Net Income,Gross Profit Margin,Net Profit Margin,Operating Margin,EPS,Interest Coverage Ratio,"Cash, Cash Equivalents & Short Term Investments",Total Assets,Total Equity,Quick Ratio,Current Ratio,Debt-to-Equity Ratio,Long Term Debt-to-Equity Ratio,Short Term Debt-to-Equity Ratio,ROE,LUv Price,PE Ratio,PS Ratio,PB Ratio
2016-02-03,LUV,2015-12-31,2015,Q4,650000000.0,4977000000.0,536000000,0.3829616234679526,0.10769539883463934,0.20755475185854932,0.8246153846153846,-41.32,3051000000.0,21312000000,7358000000.0,0.5013502565487442,0.5433432352146907,0.4319108453384072,0.345338407175863,0.08657243816254417,0.07284588203316118,36.83,44.663246268656714,4.810026120152703,3.2535335689045937
2016-04-29,LUV,2016-03-31,2016,Q1,641000000.0,4826000000.0,513000000,0.37546622461665974,0.1062992125984252,0.19560712805636138,0.8003120124804992,-37.76,3582000000.0,22241000000,7496000000.0,0.5192051375257483,0.5542227068944626,0.4413020277481323,0.3141675560298826,0.12713447171824974,0.06843649946638207,44.6,55.72826510721248,5.92387070037298,3.8138473852721453
2016-07-28,LUV,2016-06-30,2016,Q2,632000000.0,5384000000.0,820000000,0.4075037147102526,0.15230312035661217,0.23699851411589895,1.2974683544303798,-49.07692307692308,3415000000.0,22447000000,7821000000.0,0.5286607940763437,0.5705349163794204,0.42884541618718836,0.30571538166474876,0.12313003452243959,0.10484592763073776,37.45,28.863902439024393,4.396062407132244,3.026262626262626
2016-10-31,LUV,2016-09-30,2016,Q3,618000000.0,5139000000.0,388000000,0.32457676590776413,0.07550107024712979,0.13524031912823506,0.627831715210356,-27.8,3446000000.0,23045000000,8047000000.0,0.5767656090071648,0.619114636642784,0.40946936746613644,0.28867901081148256,0.1207903566546539,0.048216726730458556,40.04,63.77505154639175,4.815084646818447,3.0750242326332793
2017-02-07,LUV,2016-12-31,2016,Q4,617000000.0,5076000000.0,523000000,0.3587470449172577,0.10303388494877856,0.1664696611505122,0.8476499189627229,-38.40909090909091,3305000000.0,23286000000,8441000000.0,0.6079777907656342,0.657218001168907,0.40125577538206375,0.3342021087548869,0.06705366662717688,0.06195948347352209,53.03,62.56120458891013,6.445923955870764,3.876259921810212
2017-05-03,LUV,2017-03-31,2017,Q1,613000000.0,4854000000.0,339000000,0.33209723939019364,0.06983930778739184,0.12484548825710753,0.5530179445350734,-27.545454545454547,3482000000.0,23763000000,8204000000.0,0.5768302493966211,0.6245642263341379,0.37372013651877134,0.3389809848854217,0.034739151633349584,0.041321306679668456,58.165,105.17741887905605,7.345518129377833,4.3460683812774255
2017-08-01,LUV,2017-06-30,2017,Q2,604000000.0,5731000000.0,743000000,0.39452102599895306,0.1296457860757285,0.2120048857093003,1.2301324503311257,-63.94736842105263,3152000000.0,23921000000,8530000000.0,0.5605185289558968,0.6119487107228406,0.36283704572098474,0.3268464243845252,0.035990621336459555,0.08710433763188746,55.71,45.2878061911171,5.871373233292619,3.9447643610785463
2017-11-01,LUV,2017-09-30,2017,Q3,597000000.0,5271000000.0,503000000,0.34813128438626445,0.09542781255928666,0.15822424587364825,0.8425460636515912,-43.89473684210526,3040000000.0,24249000000,8800000000.0,0.5516152189519024,0.6145010768126346,0.34988636363636366,0.3139772727272727,0.03590909090909091,0.05715909090909091,53.99,64.07958250497019,6.114974388161639,3.6627306818181817
2018-02-07,LUV,2017-12-31,2017,Q4,590000000.0,5315000000.0,1903000000,0.32229539040451555,0.35804327375352774,0.16180620884289745,3.2254237288135594,-45.26315789473684,3273000000.0,25110000000,9641000000.0,0.6403904997814367,0.7015882267230075,0.3804584586661135,0.3443626179856861,0.036095840680427344,0.1973861632610725,57.91,17.954230162900682,6.428391345249294,3.5439166061611864
2018-05-01,LUV,2018-03-31,2018,Q1,587000000.0,4944000000.0,463000000,0.3070388349514563,0.09364886731391586,0.12459546925566344,0.7887563884156729,-30.8,3243000000.0,25503000000,9619000000.0,0.6103043842502094,0.6703434794750069,0.37342759122569913,0.3354818588210833,0.037945732404615864,0.048133901652978484,52.97,67.15634989200865,6.289116100323625,3.2324971410749557
