time,close
2011-08-22,7.21
2011-08-23,7.27
2011-08-24,7.26
2011-08-25,6.357
2011-08-26,7.125
2011-08-29,7.49
2011-08-30,7.59
2011-08-31,7.0086
2011-09-01,7.42
2011-09-02,7.27
2011-09-06,6.6363
2011-09-07,7.46
2011-09-08,7.3
2011-09-09,7.19
2011-09-12,7.37
2011-09-13,7.437
2011-09-14,8.37
2011-09-15,8.47
2011-09-16,8.41
2011-09-19,8.31
2011-09-20,8.39
2011-09-21,7.446
2011-09-22,7.59
2011-09-23,8.16
2011-09-26,8.3
2011-09-27,8.15
2011-09-28,8.1
2011-09-29,7.399
2011-09-30,7.49
2011-10-03,6.66
2011-10-04,7.29
2011-10-05,7.44
2011-10-06,7.79
2011-10-07,7.81
2011-10-10,7.493
2011-10-11,8.22
2011-10-12,8.43
2011-10-13,8.69
2011-10-14,7.977
2011-10-17,8.41
2011-10-18,8.107
2011-10-19,8.49
2011-10-20,8.098
2011-10-21,8.06
2011-10-24,8.284
2011-10-25,8.46
2011-10-26,8.58
2011-10-27,8.042
2011-10-28,7.921
2011-10-31,8.51
2011-11-01,8.32
2011-11-02,8.25
2011-11-03,8.3
2011-11-04,8.35
2011-11-07,8.32
2011-11-08,7.632
2011-11-09,8.01
2011-11-10,7.62
2011-11-11,7.96
2011-11-14,7.502
2011-11-15,7.99
2011-11-16,7.57
2011-11-17,6.7759
2011-11-18,7.35
2011-11-21,6.7107
2011-11-22,6.7759
2011-11-23,7.12
2011-11-25,6.627
2011-11-28,7.44
2011-11-29,7.8
2011-11-30,8.13
2011-12-01,8.52
2011-12-02,8.42
2011-12-05,8.61
2011-12-06,8.47
2011-12-07,8.57
2011-12-08,8.17
2011-12-09,8.51
2011-12-12,8.51
2011-12-13,7.437
2011-12-14,8.16
2011-12-15,7.995
2011-12-16,9.02
2011-12-19,8.51
2011-12-20,8.63
2011-12-21,8.47
2011-12-22,8.37
2011-12-23,8.31
2011-12-27,8.17
2011-12-28,8.12
2011-12-29,7.53
2011-12-30,8.095
2012-01-03,8.05
2012-01-04,8.01
2012-01-05,7.753
2012-01-06,8.33
2012-01-09,8.29
2012-01-10,8.27
2012-01-11,8.014
2012-01-12,8.88
2012-01-13,8.85
2012-01-17,8.125
2012-01-18,8.92
2012-01-19,9.32
2012-01-20,9.42
2012-01-23,8.647
2012-01-24,9.38
2012-01-25,9.96
2012-01-26,9.466
2012-01-27,10.4
2012-01-30,10.78
2012-01-31,9.819
2012-02-01,10.9
2012-02-02,11.12
2012-02-03,11.3
2012-02-06,11.01
2012-02-07,10.96
2012-02-08,10.99
2012-02-09,10.35
2012-02-10,10.89
2012-02-13,11.15
2012-02-14,10.95
2012-02-15,10.83
2012-02-16,10.93
2012-02-17,10.08
2012-02-21,9.354
2012-02-22,9.94
2012-02-23,9.019
2012-02-24,9.52
2012-02-27,9.66
2012-02-28,9.89
2012-02-29,9.131
2012-03-01,9.63
2012-03-02,9.75
2012-03-05,9.67
2012-03-06,9.36
2012-03-07,8.721
2012-03-08,8.814
2012-03-09,8.721
2012-03-12,8.554
2012-03-13,9.29
2012-03-14,9.29
2012-03-15,9.635
2012-03-16,8.572
2012-03-19,8.665
2012-03-20,9.54
2012-03-21,9.74
2012-03-22,9.535
2012-03-23,9.61
2012-03-26,9.88
2012-03-27,9.131
2012-03-28,10.01
2012-03-29,10.07
2012-03-30,9.915
2012-04-02,9.317
2012-04-03,9.605
2012-04-04,10.49
2012-04-05,10.36
2012-04-09,9.577
2012-04-10,9.8111
2012-04-11,9.91
2012-04-12,9.55
2012-04-13,9.429
2012-04-16,10.26
2012-04-17,9.717
2012-04-18,9.801
2012-04-19,10.071
2012-04-20,10.74
2012-04-23,10.39
2012-04-24,10.47
2012-04-25,10.48
2012-04-26,10.39
2012-04-27,10.071
2012-04-30,10.96
2012-05-01,10.285
2012-05-02,10.117
2012-05-03,10.96
2012-05-04,10.99
2012-05-07,11.17
2012-05-08,10.396
2012-05-09,10.155
2012-05-10,11.04
2012-05-11,10.583
2012-05-14,11.42
2012-05-15,10.396
2012-05-16,11.38
2012-05-17,9.689
2012-05-18,10.13
2012-05-21,10.58
2012-05-22,10.55
2012-05-23,9.996
2012-05-24,11.25
2012-05-25,11.37
2012-05-29,11.8
2012-05-30,11.76
2012-05-31,11.262
2012-06-01,11.5
2012-06-04,9.475
2012-06-05,10.57
2012-06-06,10.6
2012-06-07,9.568
2012-06-08,9.661
2012-06-11,9.466
2012-06-12,10.03
2012-06-13,10.3
2012-06-14,10.44
2012-06-15,10.26
2012-06-18,10.62
2012-06-19,10.89
2012-06-20,11.2
2012-06-21,10.452
2012-06-22,11.04
2012-06-25,10.51
2012-06-26,11.15
2012-06-27,11.06
2012-06-28,11.14
2012-06-29,11.0
2012-07-02,11.11
2012-07-03,10.78
2012-07-05,9.894
2012-07-06,11.01
2012-07-09,10.155
2012-07-10,9.978
2012-07-11,11.1
2012-07-12,10.74
2012-07-13,10.84
2012-07-16,10.21
2012-07-17,10.052
2012-07-18,10.21
2012-07-19,9.308
2012-07-20,9.92
2012-07-23,8.991
2012-07-24,8.684
2012-07-25,8.814
2012-07-26,8.758
2012-07-27,8.768
2012-07-30,8.814
2012-07-31,9.65
2012-08-01,9.46
2012-08-02,8.591
2012-08-03,9.3
2012-08-06,8.721
2012-08-07,8.675
2012-08-08,9.39
2012-08-09,8.442
2012-08-10,9.06
2012-08-13,9.25
2012-08-14,9.28
2012-08-15,9.25
2012-08-16,9.04
2012-08-17,9.14
2012-08-20,8.805
2012-08-21,9.038
2012-08-22,8.87
2012-08-23,9.17
2012-08-24,9.12
2012-08-27,8.433
2012-08-28,8.68
2012-08-29,8.014
2012-08-30,8.55
2012-08-31,8.051
2012-09-04,8.55
2012-09-05,8.89
2012-09-06,9.19
2012-09-07,9.28
2012-09-10,8.73
2012-09-11,9.29
2012-09-12,8.842
2012-09-13,8.796
2012-09-14,9.26
2012-09-17,9.24
2012-09-18,8.34
2012-09-19,9.36
2012-09-20,9.15
