,Ticker,Report Date,Fiscal Year,Fiscal Period,Shares (Basic),Revenue,Net Income,Gross Profit Margin,Net Profit Margin,Operating Margin,EPS,Interest Coverage Ratio,"Cash, Cash Equivalents & Short Term Investments",Total Assets,Total Equity,Quick Ratio,Current Ratio,Debt-to-Equity Ratio,Long Term Debt-to-Equity Ratio,Short Term Debt-to-Equity Ratio,ROE,UAL Price,PE Ratio,PS Ratio,PB Ratio
2018-04-18,UAL,2018-03-31,2018,Q1,283900000.0,9032000000.0,145000000,0.33270593445527014,0.016054030115146146,0.03343666961913198,0.510743219443466,-2.0827586206896553,4475000000.0,44018000000,8336000000.0,0.5191426355496016,0.5842910526686879,1.79510556621881,1.5816938579654511,0.21341170825335892,0.01739443378119002,70.58,138.1907724137931,2.218518821966342,2.4037502399232245
2018-07-18,UAL,2018-06-30,2018,Q2,274700000.0,10777000000.0,683000000,0.3778416999164888,0.06337570752528533,0.11821471652593486,2.486348744084456,-9.231884057971014,5071000000.0,44691000000,8639000000.0,0.5633692875390293,0.6302157252341755,1.6787822664660261,1.5625651117027435,0.11621715476328279,0.07906007639773122,79.02,31.781543191800875,2.0141777860257957,2.5126512327815718
2018-10-17,UAL,2018-09-30,2018,Q3,272400000.0,11003000000.0,833000000,0.3724438789421067,0.07570662546578207,0.10942470235390347,3.0580029368575623,-8.36111111111111,4935000000.0,44837000000,9469000000.0,0.5597778427360421,0.6336597486115171,1.5186397718872109,1.4081740416094624,0.11046573027774845,0.08797127468581688,88.5,28.94045618247299,2.1909842770153594,2.5459288203611785
2019-02-28,UAL,2018-12-31,2018,Q4,271000000.0,10491000000.0,461000000,0.36526546563721285,0.04394242684205509,0.08921933085501858,1.7011070110701108,-6.591549295774648,3950000000.0,44792000000,9995000000.0,0.4699515591886164,0.5445049954586739,1.473536768384192,1.335567783891946,0.13796898449224612,0.04612306153076538,87.81,51.61932754880694,2.2682785244495283,2.380841420710355
2019-04-17,UAL,2019-03-31,2019,Q1,267000000.0,9589000000.0,292000000,0.34789863385128794,0.030451559078110334,0.053498800709145894,1.0936329588014981,-3.2264150943396226,4067000000.0,50639000000,9802000000.0,0.42275594062559724,0.48467860100656174,2.049377678024893,1.8480922260763109,0.2012854519485819,0.02978983880840645,89.22,81.58130136986301,2.4842778183335072,2.430293817588247
2019-07-17,UAL,2019-06-30,2019,Q2,260800000.0,11402000000.0,1052000000,0.3957200491141905,0.09226451499736889,0.13532713559024734,4.033742331288344,-10.084967320261438,5444000000.0,52150000000,10320000000.0,0.49222540116929964,0.5541734046523199,1.9557170542635658,1.761046511627907,0.19467054263565892,0.10193798449612403,94.75,23.4893536121673,2.167233818628311,2.3944573643410854
2019-10-16,UAL,2019-09-30,2019,Q3,255300000.0,11380000000.0,1024000000,0.4031634446397188,0.08998242530755712,0.13181019332161686,4.010967489228359,-9.67741935483871,5126000000.0,52199000000,11301000000.0,0.47594162258619593,0.5438149257536167,1.782143173170516,1.5951685691531723,0.1869746040173436,0.0906114503141315,89.7,22.363681640625,2.0123383128295256,2.0264056278205467
2020-02-25,UAL,2019-12-31,2019,Q4,252100000.0,10888000000.0,641000000,0.3783063923585599,0.05887215282880235,0.09101763409257899,2.5426418088060294,-7.564885496183206,4944000000.0,52611000000,11531000000.0,0.476770652028384,0.5485339402865176,1.7734801838522245,1.587980227213598,0.1854999566386263,0.05558928106842425,70.58,27.758530421216847,1.6342044452608375,1.5430767496314284
2020-05-04,UAL,2020-03-31,2020,Q1,248500000.0,7979000000.0,-1704000000,0.23662113046747713,-0.21356059656598572,-0.11392405063291139,-6.857142857142857,6.268965517241379,5221000000.0,53055000000,9418000000.0,0.4248772300615404,0.49139056380928703,2.487683159906562,1.9778084519006158,0.509874708005946,-0.18093013378636652,25.25,-3.682291666666667,0.7863924050632911,0.6662375238904226
2021-04-19,UAL,2021-03-30,2021,Q1,318476280.0,3221000000.0,-1357000000,0.32536479354237813,-0.4212977336230984,-0.42874883576529027,-4.260913874025406,-3.912181303116147,13447000000.0,61662000000,5206000000.0,1.065927860520929,1.1307263358509212,6.766615443718786,6.2700729927007295,0.4965424510180561,-0.2606607760276604,55.0,-12.908029034635225,5.438123377832971,3.3646168651555897
2021-01-20,UAL,2020-12-30,2020,Q4,290990973.0,3412000000.0,-1897000000,0.41588511137162953,-0.555978898007034,-0.6257327080890973,-6.519102570236775,-6.082621082621083,12156000000.0,59548000000,5960000000.0,1.0898231827111984,1.163064833005894,5.686409395973154,5.23255033557047,0.4538590604026846,-0.31828859060402687,45.17,-6.928867817822878,3.852304293789566,2.205379572216443
2020-10-14,UAL,2020-09-29,2020,Q3,290983657.0,2489000000.0,-1841000000,0.3579750903977501,-0.7396544797107272,-0.648854961832061,-6.326815804641565,-4.681159420289855,13950000000.0,61189000000,7003000000.0,0.9825216895700082,1.0433791400164651,4.829073254319577,4.066114522347565,0.762958731972012,-0.2628873339997144,35.61,-5.628423696778924,4.1630888010325435,1.4796413002670286
2020-07-21,UAL,2020-06-29,2020,Q2,290432163.0,1475000000.0,-1627000000,0.1769491525423729,-1.103050847457627,-1.1098305084745763,-5.601996635613666,-8.35204081632653,7536000000.0,54901000000,8517000000.0,0.554193351631595,0.6124428179322964,2.9226253375601736,2.318539391804626,0.6040859457555477,-0.19102970529529176,33.04,-5.897897151518132,6.5056804512,1.1266735547164495
